formulation,model_case,time_h,global_node_id,layer_id,layer_name,x_global_cm,concentration_ug_cm3,x_skin_cm,x_skin_um
Free KC,Case 1,12.0,101,3,EP/dermis,0.5172654545454546,43.78446312605385,0.06272000000000005,627.2000000000005
Free KC,Case 1,12.0,102,3,EP/dermis,0.5181454545454546,42.368856561179285,0.06360000000000005,636.0000000000005
Free KC,Case 1,12.0,103,3,EP/dermis,0.5190254545454546,40.9536062985044,0.06448000000000004,644.8000000000004
Free KC,Case 1,12.0,104,3,EP/dermis,0.5199054545454546,39.53870181755868,0.06536000000000003,653.6000000000003
Free KC,Case 1,12.0,105,3,EP/dermis,0.5207854545454546,38.12413246640257,0.06624000000000002,662.4000000000002
Free KC,Case 1,12.0,106,3,EP/dermis,0.5216654545454545,36.7098874658098,0.06712000000000001,671.2000000000002
Free KC,Case 1,12.0,107,3,EP/dermis,0.5225454545454545,35.295955913484526,0.068,680.0
Free KC,Case 1,12.0,108,3,EP/dermis,0.5234254545454546,33.882326788314,0.06888000000000011,688.8000000000011
Free KC,Case 1,12.0,109,3,EP/dermis,0.5243054545454546,32.46898895465642,0.0697600000000001,697.600000000001
Free KC,Case 1,12.0,110,3,EP/dermis,0.5251854545454546,31.05593116665986,0.07064000000000009,706.4000000000009
Free KC,Case 1,12.0,111,3,EP/dermis,0.5260654545454546,29.643142072614342,0.07152000000000008,715.2000000000008
Free KC,Case 1,12.0,112,3,EP/dermis,0.5269454545454546,28.230610219333922,0.07240000000000008,724.0000000000008
Free KC,Case 1,12.0,113,3,EP/dermis,0.5278254545454546,26.818324056567334,0.07328000000000007,732.8000000000006
Free KC,Case 1,12.0,114,3,EP/dermis,0.5287054545454546,25.406271941437158,0.07416000000000006,741.6000000000006
Free KC,Case 1,12.0,115,3,EP/dermis,0.5295854545454546,23.994442142905637,0.07504000000000005,750.4000000000005
Free KC,Case 1,12.0,116,3,EP/dermis,0.5304654545454546,22.5828228462651,0.07592000000000004,759.2000000000004
Free KC,Case 1,12.0,117,3,EP/dermis,0.5313454545454546,21.17140215765236,0.07680000000000003,768.0000000000003
Free KC,Case 1,12.0,118,3,EP/dermis,0.5322254545454546,19.76016810858738,0.07768000000000003,776.8000000000003
Free KC,Case 1,12.0,119,3,EP/dermis,0.5331054545454545,18.349108660531478,0.07856000000000002,785.6000000000001
Free KC,Case 1,12.0,120,3,EP/dermis,0.5339854545454545,16.938211709466525,0.07944000000000001,794.4000000000001
Free KC,Case 1,12.0,121,3,EP/dermis,0.5348654545454545,15.527465090492406,0.08032,803.2
Free KC,Case 1,12.0,122,3,EP/dermis,0.5357454545454545,14.116856582443114,0.0812,812.0
Free KC,Case 1,12.0,123,3,EP/dermis,0.5366254545454546,12.706373912517513,0.0820800000000001,820.800000000001
Free KC,Case 1,12.0,124,3,EP/dermis,0.5375054545454546,11.296004760926593,0.08296000000000009,829.6000000000009
Free KC,Case 1,12.0,125,3,EP/dermis,0.5383854545454546,9.885736765552055,0.08384000000000008,838.4000000000008
Free KC,Case 1,12.0,126,3,EP/dermis,0.5392654545454546,8.47555752661869,0.08472000000000007,847.2000000000007
Free KC,Case 1,12.0,127,3,EP/dermis,0.5401454545454546,7.065454611377566,0.08560000000000006,856.0000000000007
Free KC,Case 1,12.0,128,3,EP/dermis,0.5410254545454546,5.6554155587976345,0.08648000000000006,864.8000000000005
Free KC,Case 1,12.0,129,3,EP/dermis,0.5419054545454546,4.24542788426629,0.08736000000000005,873.6000000000005
Free KC,Case 1,12.0,130,3,EP/dermis,0.5427854545454546,2.835479084296381,0.08824000000000004,882.4000000000004
Free KC,Case 1,12.0,131,3,EP/dermis,0.5436654545454546,1.4255566412386795,0.08912000000000003,891.2000000000003
Free KC,Case 1,12.0,132,3,EP/dermis,0.5445454545454546,0.01564802799850937,0.09000000000000002,900.0000000000002
Free KC,Case 1,12.0,133,4,Receptor,0.5445454545454544,3.695997788339183,0.08999999999999991,899.9999999999991
Free KC,Case 1,12.0,134,4,Receptor,0.643030303030303,3.683416362531463,0.18848484848484842,1884.8484848484843
Free KC,Case 1,12.0,135,4,Receptor,0.7415151515151513,3.6712625140049506,0.2869696969696968,2869.696969696968
Free KC,Case 1,12.0,136,4,Receptor,0.8399999999999999,3.6595361323945133,0.3854545454545453,3854.545454545453
Free KC,Case 1,12.0,137,4,Receptor,0.9384848484848483,3.6482371108213,0.4839393939393937,4839.393939393937
Free KC,Case 1,12.0,138,4,Receptor,1.0369696969696967,3.637365345933517,0.5824242424242421,5824.24242424242
Free KC,Case 1,12.0,139,4,Receptor,1.1354545454545453,3.626920737945831,0.6809090909090907,6809.090909090907
Free KC,Case 1,12.0,140,4,Receptor,1.2339393939393937,3.616903190677432,0.7793939393939391,7793.939393939391
Free KC,Case 1,12.0,141,4,Receptor,1.332424242424242,3.607312611588603,0.8778787878787875,8778.787878787874
Free KC,Case 1,12.0,142,4,Receptor,1.4309090909090907,3.598148911816038,0.9763636363636361,9763.63636363636
Free KC,Case 1,12.0,143,4,Receptor,1.529393939393939,3.5894120062065324,1.0748484848484845,10748.484848484844
Free KC,Case 1,12.0,144,4,Receptor,1.6278787878787875,3.5811018133494215,1.173333333333333,11733.333333333328
Free KC,Case 1,12.0,145,4,Receptor,1.726363636363636,3.5732182556074448,1.2718181818181815,12718.181818181814
Free KC,Case 1,12.0,146,4,Receptor,1.8248484848484845,3.565761259146249,1.37030303030303,13703.030303030298
Free KC,Case 1,12.0,147,4,Receptor,1.923333333333333,3.558730753962416,1.4687878787878783,14687.878787878783
