time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case,C_receptor_model_ug_mL,C_receptor_model_ug_cm3
18.6,459.0540455390392,0.915804000432178,6.297757881717769,19.23182323937032,485.4994306605595,Free KC,Case 1,6.509232481017648,6.509232481017648
18.8,458.7925792200235,0.9153102882355452,6.295779592183745,19.49576156003466,485.4994306604775,Free KC,Case 1,6.598565451088654,6.598565451088654
19.0,458.5312733505389,0.9148152692688448,6.29371026636062,19.75963177421768,485.49943066038605,Free KC,Case 1,6.687875369735215,6.687875369735215
19.200000000000003,458.2701271731051,0.9143190363000916,6.2915552715624,20.02342917935608,485.4994306603237,Free KC,Case 1,6.77716064532052,6.77716064532052
19.4,458.0091399590016,0.9138216778778274,6.289319747876299,20.287149275547687,485.4994306603034,Free KC,Case 1,6.866419754800756,6.866419754800756
19.6,457.74831102097977,0.9133232766949624,6.287008505893662,20.5507878567625,485.49943066033086,Free KC,Case 1,6.955651274596539,6.955651274596539
19.8,457.4876397118077,0.9128239092223897,6.284626042656902,20.814340996674783,485.4994306603617,Free KC,Case 1,7.044853875797619,7.044853875797619
20.0,457.2271254097132,0.9123236489631122,6.282176648292502,21.07780495342348,485.4994306603923,Free KC,Case 1,7.134026291927948,7.134026291927948
20.200000000000003,456.96676752857553,0.9118225649470728,6.279664324866611,21.34117624200121,485.4994306603904,Free KC,Case 1,7.223167343446564,7.223167343446564
20.4,456.7065655112424,0.9113207223892382,6.277092842040511,21.604451584636998,485.49943066030914,Free KC,Case 1,7.312275920954061,7.312275920954061
20.6,456.44651882486704,0.9108181827980484,6.2744657787002165,21.86762787371677,485.4994306600821,Free KC,Case 1,7.4013509726426,7.4013509726426
20.8,456.1866269679229,0.9103150036621812,6.271786463374828,22.13070222486817,485.4994306598281,Free KC,Case 1,7.4903915222630735,7.4903915222630735
21.0,455.9268894587981,0.909811239964242,6.2690580632559705,22.393671897556302,485.4994306595746,Free KC,Case 1,7.579396642249827,7.579396642249827
21.200000000000003,455.6673058393508,0.90930694334685,6.266283559756444,22.656534316922,485.49943065937606,Free KC,Case 1,7.668365461112061,7.668365461112061
21.4,455.40787567991816,0.9088021594951916,6.263465722702725,22.919287096989223,485.4994306591053,Free KC,Case 1,7.757297171288661,7.757297171288661
21.6,455.14859856265326,0.9082969343881352,6.260607214106378,23.181927947717245,485.499430658865,Free KC,Case 1,7.846190997688914,7.846190997688914
21.8,454.8894740902076,0.9077913102638576,6.257710539866313,23.444454718357974,485.4994306586957,Free KC,Case 1,7.9350462123673156,7.9350462123673156
